ProviderNumber String,HospitalName String,City String,State String,ZIPCode str,CountyName String,PhoneNumber String,HospitalType String,HospitalOwner String,EmergencyService String,Condition String,MeasureCode String,MeasureName String,Sample String,StateAvg String
10168,SUMMIT HOSPITAL,PHENIX CITY,,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Attack,,Heart Attack Patients Given Aspirin at Arrival,11 patients,
10168,SUMMIT HOSPITAL,PHENIX CITY,,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,5 patients,AL_AMI-2
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),1 patients,AL_AMI-3
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,2 patients,AL_AMI-4
10168,SUMMIT HOSPITAL,PHENIX CITY,,,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,4 patients,AL_AMI-5
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Failure,,Heart Failure Patients Given Discharge Instructions,39 patients,AL_HF-1
,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,46 patients,AL_HF-2
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,,3347323456.0,Acute Care Hospitals,Government - State,,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),14 patients,AL_HF-3
,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,6 patients,
,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,51 patients,AL_PN-2
10168,SUMMIT HOSPITAL,PHENIX CITY,,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,51 patients,AL_PN-3B
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,,Yes,,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,25 patients,AL_PN-4
10168,SUMMIT HOSPITAL,PHENIX CITY,,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,56 patients,AL_PN-5C
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,,PN-6,,40 patients,AL_PN-6
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,48 patients,AL_PN-7
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,,,36 patients,AL_SCIP-CARD-2
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,,Acute Care Hospitals,,Yes,Surgical Infection Prevention,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,150 patients,AL_SCIP-INF-1
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,,Yes,,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,151 patients,AL_SCIP-INF-2
,SUMMIT HOSPITAL,PHENIX CITY,AL,,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),150 patients,AL_SCIP-INF-3
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,AL_SCIP-INF-4
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),219 patients,AL_SCIP-INF-6
10168,SUMMIT HOSPITAL,PHENIX CITY,AL,36867.0,,3347323456.0,Acute Care Hospitals,Government - State,Yes,Surgical Infection Prevention,,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,,AL_SCIP-VTE-1
10168,SUMMIT HOSPITAL,PHENIX CITY,,36867.0,RUSSELL,3347323456.0,Acute Care Hospitals,,Yes,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,126 patients,
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,5 patients,
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,,2513682500.0,Acute Care Hospitals,,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,4 patients,AL_AMI-2
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,,,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0 patients,AL_AMI-3
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,,Government - Hospital District or Authority,No,,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,0 patients,AL_AMI-4
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,,AL_AMI-5
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,,No,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,,AL_AMI-8A
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,75 patients,AL_HF-1
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,,,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Heart Failure,HF-2,,87 patients,AL_HF-2
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,,No,Heart Failure,HF-3,,16 patients,
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,15 patients,AL_HF-4
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,,Government - Hospital District or Authority,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,47 patients,AL_PN-2
10169,ATMORE COMMUNITY HOSPITAL,,AL,36502.0,ESCAMBIA,2513682500.0,,Government - Hospital District or Authority,No,Pneumonia,PN-3B,,57 patients,AL_PN-3B
10169,,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,31 patients,AL_PN-4
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,65 patients,
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),39 patients,AL_PN-6
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,30 patients,AL_PN-7
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-CARD-2,surgery patients who were taking heart drugs called beta blockers before coming to the hospital&#54; who were kept on the beta blockers during the period just before and after their surgery,1 patients,
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,,SCIP-INF-1,surgery patients who were given an antibiotic at the right time (within one hour before surgery) to help prevent infection,2 patients,AL_SCIP-INF-1
10169,,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,,Surgical Infection Prevention,SCIP-INF-2,surgery patients who were given the  right kind  of antibiotic to help prevent infection,3 patients,AL_SCIP-INF-2
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,,Surgical Infection Prevention,SCIP-INF-3,surgery patients whose preventive antibiotics were stopped at the right time (within 24 hours after surgery),1 patients,AL_SCIP-INF-3
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-INF-4,all heart surgery patients whose blood sugar (blood glucose) is kept under good control in the days right after surgery,0 patients,AL_SCIP-INF-4
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,36502.0,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-INF-6,surgery patients needing hair removed from the surgical area before surgery&#54; who had hair removed using a safer method (electric clippers or hair removal cream �C not a razor),12 patients,AL_SCIP-INF-6
10169,,ATMORE,AL,,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,,SCIP-VTE-1,surgery patients whose doctors ordered treatments to prevent blood clots after certain types of surgeries,10 patients,AL_SCIP-VTE-1
10169,ATMORE COMMUNITY HOSPITAL,ATMORE,AL,,ESCAMBIA,2513682500.0,Acute Care Hospitals,Government - Hospital District or Authority,No,Surgical Infection Prevention,SCIP-VTE-2,patients who got treatment  at the right time (within 24 hours before or after their surgery) to help prevent blood clots after certain types of surgery,10 patients,
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,2 patients,AL_AMI-1
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,2 patients,
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,,36109.0,,3342604100.0,,,No,Heart Attack,,Heart Attack Patients Given Beta Blocker at Discharge,,AL_AMI-5
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,,AL_HF-1
,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,41 patients,AL_HF-2
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,,No,Heart Failure,,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),29 patients,AL_HF-3
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,,AL,36109.0,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Heart Failure,HF-4,,,AL_HF-4
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,38 patients,AL_PN-2
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,41 patients,AL_PN-3B
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,19 patients,AL_PN-4
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,,3342604100.0,Acute Care - VA Medical Center,,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,45 patients,AL_PN-5C
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),44 patients,AL_PN-6
01019F,VA CENTRAL ALABAMA HEALTHCARE SYSTEM - MONTG,MONTGOMERY,AL,36109.0,MONTGOMERY,3342604100.0,Acute Care - VA Medical Center,Government Federal,No,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,33 patients,AL_PN-7
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,,Heart Failure,,Heart Failure Patients Given Discharge Instructions,7 patients,AL_HF-1
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,,,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,8 patients,AL_HF-2
,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),2 patients,AL_HF-3
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,1 patients,AL_HF-4
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,6 patients,AL_PN-2
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,1 patients,AL_PN-3B
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,1 patients,AL_PN-4
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,WASHINGTON,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,5 patients,AL_PN-5C
,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,,2518472223.0,,Government - Hospital District or Authority,No,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),,AL_PN-6
11300,WASHINGTON COUNTY HOSPITAL,CHATOM,AL,36518.0,,2518472223.0,Critical Access Hospitals,Government - Hospital District or Authority,No,,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,2 patients,AL_PN-7
,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-1,Heart Failure Patients Given Discharge Instructions,2 patients,
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,,,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,6 patients,AL_HF-2
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-3,Heart Failure Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),0 patients,AL_HF-3
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,,2563569532.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,1 patients,AL_HF-4
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,Critical Access Hospitals,,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,10 patients,
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,,Voluntary non-profit - Other,Yes,,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,5 patients,AL_PN-3B
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,Critical Access Hospitals,Voluntary non-profit - Other,,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,2 patients,AL_PN-4
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,6 patients,AL_PN-5C
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),9 patients,AL_PN-6
11302,RED BAY HOSPITAL,RED BAY,AL,35582.0,FRANKLIN,2563569532.0,Critical Access Hospitals,Voluntary non-profit - Other,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,10 patients,AL_PN-7
,RANDOLPH MEDICAL CENTER,,,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,4 patients,
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,,Government - Hospital District or Authority,Yes,Heart Attack,AMI-2,Heart Attack Patients Given Aspirin at Discharge,1 patients,AL_AMI-2
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,,,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),,AL_AMI-3
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,0 patients,AL_AMI-4
11303,RANDOLPH MEDICAL CENTER,ROANOKE,,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,1 patients,AL_AMI-5
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-7A,Heart Attack Patients Given Fibrinolytic Medication Within 30 Minutes Of Arrival,0 patients,AL_AMI-7A
,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Attack,AMI-8A,Heart Attack Patients Given PCI Within 90 Minutes Of Arrival,0 patients,AL_AMI-8A
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,,Heart Failure Patients Given Discharge Instructions,21 patients,AL_HF-1
,RANDOLPH MEDICAL CENTER,,AL,,,3348634111.0,Critical Access Hospitals,,Yes,Heart Failure,HF-2,Heart Failure Patients Given an Evaluation of Left Ventricular Systolic (LVS) Function,,
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,,Government - Hospital District or Authority,Yes,Heart Failure,HF-3,,6 patients,AL_HF-3
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Heart Failure,HF-4,Heart Failure Patients Given Smoking Cessation Advice/Counseling,,AL_HF-4
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,,Yes,Pneumonia,PN-2,Pneumonia Patients Assessed and Given Pneumococcal Vaccination,14 patients,AL_PN-2
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-3B,Pneumonia Patients Whose Initial Emergency Room Blood Culture Was Performed Prior To The Administration Of The First Hospital Dose Of Antibiotics,10 patients,AL_PN-3B
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,,Government - Hospital District or Authority,Yes,Pneumonia,PN-4,Pneumonia Patients Given Smoking Cessation Advice/Counseling,11 patients,AL_PN-4
11303,RANDOLPH MEDICAL CENTER,ROANOKE,,36274.0,RANDOLPH,3348634111.0,,Government - Hospital District or Authority,Yes,Pneumonia,PN-5C,Pneumonia Patients Given Initial Antibiotic(s) within 6 Hours After Arrival,17 patients,AL_PN-5C
11303,RANDOLPH MEDICAL CENTER,ROANOKE,AL,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,,Yes,,PN-6,Pneumonia Patients Given the Most Appropriate Initial Antibiotic(s),17 patients,AL_PN-6
11303,RANDOLPH MEDICAL CENTER,ROANOKE,,36274.0,RANDOLPH,3348634111.0,Critical Access Hospitals,Government - Hospital District or Authority,Yes,Pneumonia,PN-7,Pneumonia Patients Assessed and Given Influenza Vaccination,16 patients,
13301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,MOBILE,AL,36604.0,MOBILE,2514151000.0,Childrens,Government - State,Yes,Children&#8217;s Asthma Care,CAC-1,Children Who Received Reliever Medication While Hospitalized for Asthma,,AL_CAC-1
13301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,MOBILE,AL,36604.0,MOBILE,2514151000.0,Childrens,Government - State,Yes,Children&#8217;s Asthma Care,CAC-2,,132 patients,AL_CAC-2
13301,UNIV OF S AL CHILDREN'S & WOMEN'S HOS,MOBILE,AL,36604.0,MOBILE,2514151000.0,Childrens,Government - State,Yes,Children&#8217;s Asthma Care,CAC-3,Children and their Caregivers Who Received a Home Management Plan of Care Document While Hospitalized for Asthma,132 patients,AL_CAC-3
,,ANCHORAGE,AK,99519.0,ANCHORAGE,9072613675.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-1,Heart Attack Patients Given Aspirin at Arrival,217 patients,AK_AMI-1
20001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,,ANCHORAGE,9072613675.0,Acute Care Hospitals,Voluntary non-profit - Private,No,,,Heart Attack Patients Given Aspirin at Discharge,334 patients,AK_AMI-2
20001,,ANCHORAGE,AK,99519.0,ANCHORAGE,9072613675.0,Acute Care Hospitals,Voluntary non-profit - Private,No,Heart Attack,AMI-3,Heart Attack Patients Given ACE Inhibitor or ARB for Left Ventricular Systolic Dysfunction (LVSD),63 patients,AK_AMI-3
20001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99519.0,ANCHORAGE,9072613675.0,Acute Care Hospitals,Voluntary non-profit - Private,,Heart Attack,AMI-4,Heart Attack Patients Given Smoking Cessation Advice/Counseling,,AK_AMI-4
20001,PROVIDENCE ALASKA MEDICAL CENTER,ANCHORAGE,AK,99519.0,ANCHORAGE,,,Voluntary non-profit - Private,No,Heart Attack,AMI-5,Heart Attack Patients Given Beta Blocker at Discharge,344 patients,AK_AMI-5
